Term,Year,Party,Average Percentage Effect,Number of Facebook Posts,Percentage Effect on Facebook Reactions,Percentage Effect on Facebook Shares,Number of Tweets,Percentage Effect on Twitter Favorites,Percentage Effect on Twitter Retweets
adam schiff,2019,R,5.621,981,1.963,2.483,903,8.198,9.839
speaker pelosi,2020,R,3.029,1047,2.223,3.125,743,3.648,3.12
fbi,2018,R,2.976,893,0.766,1.082,993,4.523,5.534
house democrat,2020,R,2.772,746,1.625,1.883,588,3.761,3.819
china,2020,R,2.491,2555,1.261,1.238,3638,2.784,4.682
kavanaugh,2018,R,2.266,1353,2.425,2.113,2006,2.22,2.307
nancy pelosi,2020,R,2.256,1186,2.305,3.571,436,1.516,1.632
schiff,2019,R,2.119,1265,0.897,1.094,1638,2.798,3.686
impeachment inquiry,2019,R,2.094,1073,0.928,1.095,757,2.987,3.366
judge kavanaugh,2018,R,2.037,630,1.837,1.521,918,2.573,2.219
human right,2019,R,2.001,389,0.601,0.435,702,2.839,4.128
impeachment,2019,R,1.963,4794,1.65,1.368,5735,2.198,2.637
impeachment,2020,R,1.931,2032,2.189,1.28,2433,2.152,2.103
chinese,2020,R,1.928,1003,0.737,1.045,1336,2.228,3.701
fbi,2019,R,1.744,545,0.863,1.095,789,2.172,2.848
president trump,2020,R,1.504,5742,1.762,1.305,1488,1.652,1.296
pelosi,2020,R,1.46,2353,1.678,2.464,1720,0.709,0.988
national security,2020,R,1.405,661,1.284,1.026,603,1.634,1.676
agree,2015,R,1.395,2678,1.34,1.916,1768,0.847,1.477
senate democrat,2018,R,1.379,622,1.118,1.573,551,1.248,1.575
hillary clinton,2016,R,1.339,2771,1.039,2.141,686,0.846,1.331
house democrat,2019,R,1.312,2347,0.459,1.048,1413,1.643,2.1
praying,2017,R,1.281,797,1.449,0.531,1138,1.853,1.292
planned parenthood,2015,R,1.277,2137,1.356,1.851,744,0.974,0.925
fbi,2016,R,1.268,1582,0.837,1.073,937,1.442,1.721
dems,2020,R,1.247,446,0.887,1.323,943,1.131,1.648
year ago,2020,R,1.226,593,2.054,1.288,434,0.965,0.598
happy,2020,R,1.224,2126,2.852,0.478,1858,1.169,0.396
illegal immigrant,2019,R,1.203,676,0.832,2.135,448,0.767,1.076
syrian refugee,2015,R,1.192,926,1.375,2.387,472,0.589,0.419
trump,2016,R,1.192,3204,0.87,0.809,1481,1.529,1.56
speaker pelosi,2019,R,1.187,1575,0.44,0.871,967,1.6,1.838
democrat,2020,R,1.178,3947,0.84,1.318,3898,1.085,1.468
crisis southern border,2019,R,1.169,784,1.227,1.826,640,0.825,0.799
donald trump,2016,R,1.162,1975,1.213,1.167,340,1.088,1.178
repeal obamacare,2017,R,1.158,986,1.148,1.333,428,1.086,1.064
fbi,2017,R,1.154,763,0.549,0.616,480,1.542,1.911
